m1,m2,task,overlap,within_cat_r,between_cat_r,procrustes,cat_score_1,cat_score_2,iter,mean_cat_score,min_cat_score
A8,A28,label_and_triplet,100.0,0.5166019263879262,0.35127232542844156,0.3641141606792365,2.3055722396474576,2.2924847783340097,8,2.299028508990734,2.2924847783340097
A9,B9,label_and_triplet,50.0,0.35819730709728176,0.16721014207404084,0.3714326414812616,2.885635384965026,2.185010128625251,9,2.5353227567951384,2.185010128625251
A9,C9,label_and_triplet,0.0,0.20867076849032393,0.050554316087694826,0.48689450141197166,2.885635384965026,2.2415165940021726,9,2.563575989483599,2.2415165940021726
B9,C9,label_and_triplet,33.33,0.28767799091982116,0.3659688814747489,0.4325874866327011,2.185010128625251,2.2415165940021726,9,2.213263361313712,2.185010128625251
A9,A29,label_and_triplet,100.0,0.41504935835929785,0.19853795110293776,0.38682265138981176,2.885635384965026,2.3763222007133544,9,2.63097879283919,2.3763222007133544
A0,B0,triplet,50.0,0.3706807023542544,0.33140895265267617,0.6940869840003984,1.3086721290500145,1.2566301634528019,0,1.2826511462514083,1.2566301634528019
A0,C0,triplet,0.0,0.3027459722681236,0.11156795544837592,0.8068384699365082,1.3086721290500145,1.2932754738614705,0,1.3009738014557426,1.2932754738614705
B0,C0,triplet,33.33,0.39396795279541413,0.233404668192812,0.6972781034423806,1.2566301634528019,1.2932754738614705,0,1.2749528186571362,1.2566301634528019
A0,A20,triplet,100.0,0.49406973248067676,0.4755563716634608,0.5015299273690939,1.3086721290500145,1.2312562785374888,0,1.2699642037937515,1.2312562785374888
A1,B1,triplet,50.0,0.3946673529111839,0.34110276324276995,0.6851537288204742,1.2832776029964517,1.2312270512155066,1,1.257252327105979,1.2312270512155066
A1,C1,triplet,0.0,0.19409634286754193,0.10595727543250713,0.8401240662931965,1.2832776029964517,1.3103511480204215,1,1.2968143755084367,1.2832776029964517
B1,C1,triplet,33.33,0.3749070074526838,0.3105905802180884,0.6741251133381205,1.2312270512155066,1.3103511480204215,1,1.270789099617964,1.2312270512155066
A1,A21,triplet,100.0,0.48524997388110663,0.45522929388922584,0.5286949562650647,1.2832776029964517,1.1470034506654667,1,1.2151405268309592,1.1470034506654667
A2,B2,triplet,50.0,0.43075944921495024,0.3768421943528058,0.6868709596707183,1.2469495852260248,1.1995590234355413,2,1.223254304330783,1.1995590234355413
A2,C2,triplet,0.0,0.29086291504014355,0.22785445742314797,0.8031630950585383,1.2469495852260248,1.2529755312670197,2,1.2499625582465224,1.2469495852260248
B2,C2,triplet,33.33,0.23908199520805817,0.16548210872848548,0.801714812615653,1.1995590234355413,1.2529755312670197,2,1.2262672773512806,1.1995590234355413
A2,A22,triplet,100.0,0.7087219238707727,0.6665613438051541,0.40041160011091104,1.2469495852260248,1.256815977146969,2,1.251882781186497,1.2469495852260248
A3,B3,triplet,50.0,0.4447154168040633,0.40331458142394533,0.6344996361358908,1.2328619315452882,1.2587430011167682,3,1.2458024663310283,1.2328619315452882
A3,C3,triplet,0.0,0.19175474317125482,0.10543394562905266,0.8502393411387308,1.2328619315452882,1.3056711154969967,3,1.2692665235211424,1.2328619315452882
B3,C3,triplet,33.33,0.2939755519043531,0.1522873221565877,0.7806539782818332,1.2587430011167682,1.3056711154969967,3,1.2822070583068825,1.2587430011167682
A3,A23,triplet,100.0,0.7106730551236077,0.6901406721685124,0.30402734536196463,1.2328619315452882,1.2009910314908567,3,1.2169264815180725,1.2009910314908567
A4,B4,triplet,50.0,0.39645308941899593,0.35867211831051693,0.6445244972080902,1.2556386532417698,1.2096568546750752,4,1.2326477539584224,1.2096568546750752
